TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher,Process Notes,original_cache_file,moved_timestamp,_status,_reason,NeedsReview
681761.0,42,Unknown,Unknown,1666876.0,,6100,W 94th St,Los Angeles,90045.0,CA,,,House,Available,0.0,,,,,,,33.9542965,-118.4136122,,address not in this territory,,,,ok,empty_or_invalid_json,True
114595.0,43,Unknown,Unknown,9056651.0,,9507,S Inglewood Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9499956,-118.3614252,,,,,,ok,empty_or_invalid_json,True
114595.0,43,Unknown,Unknown,5500882.0,,4913,W 98th St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9473874,-118.3640717,,,,,,ok,empty_or_invalid_json,True
366434.0,44,Unknown,Unknown,3234444.0,,4861,W 99th St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9463912,-118.3643114,,,,,,ok,empty_or_invalid_json,True
366434.0,44,Unknown,Unknown,5659984.0,,4969,W 99th St,Inglewood,90301.0,CA,,,House,NotHome,1.0,2025/01/15,,,,,,33.9463912,-118.3643114,,,,,,ok,empty_or_invalid_json,True
660550.0,45,Unknown,Unknown,4320348.0,Unit,492214,W 99th St,Inglewood,90301.0,CA,,,Apartment,Custom1,0.0,2025/02/15,,,,,,33.9462968,-118.3635262,,,,,,ok,empty_or_invalid_json,True
660550.0,45,Unknown,Unknown,4179703.0,,4823,W Century Blvd,Inglewood,90304.0,CA,,,House,Available,0.0,,,,,,,33.9455151,-118.3620962,,,,,,ok,empty_or_invalid_json,True
821256.0,47,Unknown,Unknown,7210469.0,,520,Kenwood St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9522519,-118.3667859,,,,,,ok,empty_or_invalid_json,True
841750.0,48,Unknown,Unknown,7306458.0,,952112,Redfern Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.950236,-118.366659,,,,,,ok,empty_or_invalid_json,True
841750.0,48,Unknown,Unknown,8119166.0,,9549,S Felton Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9496803,-118.3657218,,,,,,ok,empty_or_invalid_json,True
465156.0,49,Unknown,Unknown,3052239.0,,756,Grace Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9683845,-118.3452494,,,,,,ok,empty_or_invalid_json,True
465156.0,49,Unknown,Unknown,3258576.0,,202,N Locust St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9646392,-118.3502976,,,,,,ok,empty_or_invalid_json,True
465156.0,49,Unknown,Unknown,2495103.0,,448,N Osage Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9700446,-118.3449683,,,,,,ok,empty_or_invalid_json,True
465156.0,49,Unknown,Unknown,9624020.0,,335,S Prairie Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9597933,-118.343971,,,,,,ok,empty_or_invalid_json,True
465156.0,49,Unknown,Unknown,7140842.0,,732,Sienna Wy,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.956526,-118.358654,,,,,,ok,empty_or_invalid_json,True
465156.0,49,Unknown,Unknown,6427097.0,,736,Sienna Wy,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.956526,-118.358654,,,,,,ok,empty_or_invalid_json,True
465156.0,49,Unknown,Unknown,7117693.0,,771,Sienna Wy,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.956526,-118.358654,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,3325969.0,,318,E Regent St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9643882,-118.3515951,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,3496538.0,,204,N La Brea Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9645907,-118.3532585,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,7727380.0,,208,N La Brea Ave,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9646195,-118.353259,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,7100103.0,,205,N Market St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9646612,-118.3518204,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,4228554.0,,213,N Market St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9647735,-118.3518212,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,9274455.0,,219,N Market St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9648577,-118.3518217,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,4920162.0,,221,N Market St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9648858,-118.3518219,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,9804966.0,,223,N Market St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9649139,-118.3518226,,,,,,ok,empty_or_invalid_json,True
520602.0,50,Unknown,Unknown,8384457.0,,237,N Market St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9651099,-118.3518368,,,,,,ok,empty_or_invalid_json,True
291807.0,53,Unknown,Unknown,5346089.0,,525,E Queen St,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9627188,-118.348151,,,,,,ok,empty_or_invalid_json,True
923657.0,54,Unknown,Unknown,1695972.0,,643,E Manchester Blvd,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9602719,-118.3468695,,,,,,ok,empty_or_invalid_json,True
923657.0,54,Unknown,Unknown,3915186.0,,71712,E Manchester Blvd,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.9616228,-118.3611939,,,,,,ok,empty_or_invalid_json,True
923657.0,54,Unknown,Unknown,4633700.0,,721,E Manchester Blvd,Inglewood,90301.0,CA,,,House,Available,0.0,,,,,,,33.959862,-118.3458124,,,,,,ok,empty_or_invalid_json,True
