TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher,Process Notes,original_cache_file,moved_timestamp
520602.0,50,,,3496538.0,,204,N La Brea Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9645907,-118.3532585,,,,,
520602.0,50,,,7727380.0,,208,N La Brea Ave,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9646195,-118.353259,,,,,
520602.0,50,,,7100103.0,,205,N Market St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9646612,-118.3518204,,,,,
520602.0,50,,,4228554.0,,213,N Market St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9647735,-118.3518212,,,,,
520602.0,50,,,9274455.0,,219,N Market St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9648577,-118.3518217,,,,,
520602.0,50,,,4920162.0,,221,N Market St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9648858,-118.3518219,,,,,
520602.0,50,,,9804966.0,,223,N Market St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9649139,-118.3518226,,,,,
520602.0,50,,,8384457.0,,237,N Market St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9651099,-118.3518368,,,,,
909272.0,52,,,7205351.0,Apt 1,416,E Regent St,Inglewood,0,CA,,,Apartment,Home,0.0,2025/01/22,,,,,,33.9643986,-118.3497668,,,,,
291807.0,53,,,7899356.0,Unit,662 1/2,Aerick St,Inglewood,90301,CA,,,Apartment,Available,0.0,,,,,,,33.963512,-118.344215,,,,,
291807.0,53,,,5346089.0,,525,E Queen St,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9627188,-118.348151,,,,,
923657.0,54,,,1695972.0,,643,E Manchester Blvd,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9602719,-118.3468695,,,,,
923657.0,54,,,3915186.0,,717 1/2,E Manchester Blvd,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.9616228,-118.3611939,,,,,
923657.0,54,,,4633700.0,,721,E Manchester Blvd,Inglewood,90301,CA,,,House,Available,0.0,,,,,,,33.959862,-118.3458124,,,,,
923657.0,54,,,2635562.0,Apt 1,512,E Queen St,Inglewood,90301,CA,,,Apartment,Available,0.0,,,,,,,33.9625565,-118.347945,,,,,
